url,course_code,course_title,semester,year,manual_page_type,ai_page_type,ai_confidence,ai_reasoning,has_notes,notes_type,notes_details,further_course_related_data_present,has_syllabus_or_logistics,is_useful,conflict_flag,recheck_needed,all_files_json,all_internal_links_json
https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/CS60023_spr2024.html,CS60023,Approximation and Online Algorithms,Spring Semester 2023-24,2023-24,notes_subpage_like,course_page,high,"Found course code, title, semester, and year in the HTML, along with detailed syllabus and logistics information.",True,files_direct,"Multiple PDF files linked directly from the page, including lecture notes and assignments.",True,True,True,True,True,"[{""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/CS60023_Approximation_and_Online_Algorithms_2024_Coverage.pdf"", ""text"": ""Class Coverage (Last modified on April 13, 2024)""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/presentation_1.pdf"", ""text"": ""CS60023 - 2024 (Last modified on April 14, 2024)""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/aadslidesapproxaut2013.pdf"", ""text"": ""Approximation Algorithms 2013""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/randomizationslidesaut2014-apr2024.pdf"", ""text"": ""Randomized and deterministic construction of epsilon nets""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/2019-cs60023.pdf"", ""text"": ""Approximation and online algorithms: CS60023: Spring 2020""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/SetCoverApprox.pdf"", ""text"": ""Set cover approximation""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/assignment1-cs60023-2024.pdf"", ""text"": ""Assignment-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/assignment2-cs60023-2024.pdf"", ""text"": ""Assignment-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/assignment3-cs60023-2024.pdf"", ""text"": ""Assignment-3""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp/"", ""text"": ""Home""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/CS60023_Approximation_and_Online_Algorithms_2024_Coverage.pdf"", ""text"": ""Class Coverage (Last modified on April 13, 2024)""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/presentation_1.pdf"", ""text"": ""CS60023 - 2024 (Last modified on April 14, 2024)""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/aadslidesapproxaut2013.pdf"", ""text"": ""Approximation Algorithms 2013""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/randomizationslidesaut2014-apr2024.pdf"", ""text"": ""Randomized and deterministic construction of epsilon nets""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/2019-cs60023.pdf"", ""text"": ""Approximation and online algorithms: CS60023: Spring 2020""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/SetCoverApprox.pdf"", ""text"": ""Set cover approximation""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/assignment1-cs60023-2024.pdf"", ""text"": ""Assignment-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/assignment2-cs60023-2024.pdf"", ""text"": ""Assignment-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60023approx/files/assignment3-cs60023-2024.pdf"", ""text"": ""Assignment-3""}]"
https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/CS60047_aut2023.html,CS60047,Advanced Graph Theory,Autumn Semester 2023-24,2023-24,course_page_like,course_page,high,"The page contains a course code, title, semester, and year, along with a detailed syllabus and logistics information.",True,files_direct,"The page contains links to scribe notes, slides, tutorials, and homework assignments.",True,True,True,False,False,"[{""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Scribe_08092023_Anirudh.pdf"", ""text"": ""Scribe Note by Anirudh M.""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Bhagoti_14.09.23.pdf"", ""text"": ""Scribe Note by Bhagoti""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Scribe_29_09_23_Trishita.pdf"", ""text"": ""Scribe Note by Trishita Mukherjee""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Sukanth_06.10.23.pdf"", ""text"": ""Scribe Note by Sukanth E""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Anirudh_11.10.23.pdf"", ""text"": ""Scribe Note by Anirudh M""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/agt-slides-2022.pdf"", ""text"": ""Slides""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/tutorial1-cs60047-2023.pdf"", ""text"": ""Tutorial-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/hw1-cs60047-2023.pdf"", ""text"": ""Homework-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/hw2-cs60047-2023.pdf"", ""text"": ""Homework-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/hw3-CS60047-2023.pdf"", ""text"": ""Homework-3""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp/"", ""text"": ""Home""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Scribe_08092023_Anirudh.pdf"", ""text"": ""Scribe Note by Anirudh M.""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Bhagoti_14.09.23.pdf"", ""text"": ""Scribe Note by Bhagoti""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Scribe_29_09_23_Trishita.pdf"", ""text"": ""Scribe Note by Trishita Mukherjee""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Sukanth_06.10.23.pdf"", ""text"": ""Scribe Note by Sukanth E""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/Anirudh_11.10.23.pdf"", ""text"": ""Scribe Note by Anirudh M""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/agt-slides-2022.pdf"", ""text"": ""Slides""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/tutorial1-cs60047-2023.pdf"", ""text"": ""Tutorial-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/hw1-cs60047-2023.pdf"", ""text"": ""Homework-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/hw2-cs60047-2023.pdf"", ""text"": ""Homework-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Ekoustav.de/CS60047agt/files/hw3-CS60047-2023.pdf"", ""text"": ""Homework-3""}]"
https://cse.iitkgp.ac.in/%7Espp/CS60047_aut2022.html,CS60047,Advanced Graph Theory,Autumn Semester 2022-23,2022-23,curricula_list_like,course_page,high,"Found course code, title, semester, year, syllabus, logistics, and coursework with tutorials, homework, and exams.",True,files_direct,"Tutorials, homework, and exams are available as downloadable PDF files.",True,True,True,True,True,"[{""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial1-cs60047-2022.pdf"", ""text"": ""Tutorial-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial2-cs60047-2022.pdf"", ""text"": ""Tutorial-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial3-cs60047-2022.pdf"", ""text"": ""Tutorial-3""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial4-cs60047-2022.pdf"", ""text"": ""Tutorial-4""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw1-cs60047-2022.pdf"", ""text"": ""Homework-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw2-cs60047-2022.pdf"", ""text"": ""Homework-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw3-cs60047-2022.pdf"", ""text"": ""Homework-3""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw4-cs60047-2022.pdf"", ""text"": ""Homework-4""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/test1-answers.pdf"", ""text"": ""Test 1 answers""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/midsem-cs60047-2022.pdf"", ""text"": ""Mid-semester questions""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/endsem-cs60047-2022.pdf"", ""text"": ""End-semester questions""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp/"", ""text"": ""Home""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial1-cs60047-2022.pdf"", ""text"": ""Tutorial-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial2-cs60047-2022.pdf"", ""text"": ""Tutorial-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial3-cs60047-2022.pdf"", ""text"": ""Tutorial-3""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/tutorial4-cs60047-2022.pdf"", ""text"": ""Tutorial-4""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw1-cs60047-2022.pdf"", ""text"": ""Homework-1""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw2-cs60047-2022.pdf"", ""text"": ""Homework-2""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw3-cs60047-2022.pdf"", ""text"": ""Homework-3""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/hw4-cs60047-2022.pdf"", ""text"": ""Homework-4""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/test1-answers.pdf"", ""text"": ""Test 1 answers""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/midsem-cs60047-2022.pdf"", ""text"": ""Mid-semester questions""}, {""href"": ""https://cse.iitkgp.ac.in/%7Espp/files/endsem-cs60047-2022.pdf"", ""text"": ""End-semester questions""}]"
https://cse.iitkgp.ac.in/%7Espp/CS60064-2023.html,CS60064,Computational Geometry,Spring,2023,notes_subpage_like,course_page,high,"Found course code, title, and semester in HTML",True,files_direct,Multiple lecture notes and tutorial files available,True,True,True,True,True,"[{""href"": ""http://cse.iitkgp.ac.in/~spp/files/geomdsnitr.pdf"", ""text"": ""Randomized incremental construction, Configuration spaces, Range-trees, random sampling, e-nets, VC-dimension, cutting lemmas, e-approximation/e-sample,  kd-trees, online convex hull computation, Voronoi diagram computation, Point-location: Lectures of January-March 2023: Updated April 22, 2023""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/manyfaces.pdf"", ""text"": ""Many faces complexity, incidence bounds, crossing numbers, probabilistic methods, 1/r-cuttings: March 15, 2023""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/dynamicHull.pdf"", ""text"": ""Dynamic hull maintenance: Section 3.3.7, Pages 124-131, Theorem 3.12., Computational Geometry: An Introduction by Preparata and Shamos""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/BHR.pdf"", ""text"": ""Binary hierarchical representation: Theorem 2, Page 87, Volume 3, Data Structures and Algorithms: Multi-dimensional Searching and Computational Geometry:  Kurt Mehlhorn""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/tri.pdf"", ""text"": ""Kirkpatrick's planar point location triangulations: Pages 56-60, Section 2.2.2.3, Theorem 2.7, Computational Geometry: An Introduction by Preparata and Shamos""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/chanbsandipan.pdf"", ""text"": ""Chan's algorithm for computing convex hulls""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/Report_2-aswanth-cgal.pdf"", ""text"": ""CGAL Programming""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/BTP_14CS10016_Prithvi.pdf"", ""text"": ""CGAL robust computations""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/Final-sgment-barireddy.pdf"", ""text"": ""Segment trees""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/tutorial1-cs60064-2023.pdf"", ""text"": ""Tutorial-Classwork-1""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/tutorial2-cs60064-2023.pdf"", ""text"": ""Tutorial-Classwork-2""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/cs60064-2023-test1.pdf"", ""text"": ""Test 1""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/cs60064-2023-test2.pdf"", ""text"": ""Test 2""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/cs60064-2023-midsem.pdf"", ""text"": ""Midsem""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp/"", ""text"": ""Home""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/CS60064_aut2022.html#coursedesc"", ""text"": ""Syllabus""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/CS60064_aut2022.html#logistics"", ""text"": ""Logistics""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/CS60064_aut2022.html#coursework"", ""text"": ""Coursework""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/geomdsnitr.pdf"", ""text"": ""Randomized incremental construction, Configuration spaces, Range-trees, random sampling, e-nets, VC-dimension, cutting lemmas, e-approximation/e-sample,  kd-trees, online convex hull computation, Voronoi diagram computation, Point-location: Lectures of January-March 2023: Updated April 22, 2023""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/manyfaces.pdf"", ""text"": ""Many faces complexity, incidence bounds, crossing numbers, probabilistic methods, 1/r-cuttings: March 15, 2023""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/dynamicHull.pdf"", ""text"": ""Dynamic hull maintenance: Section 3.3.7, Pages 124-131, Theorem 3.12., Computational Geometry: An Introduction by Preparata and Shamos""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/BHR.pdf"", ""text"": ""Binary hierarchical representation: Theorem 2, Page 87, Volume 3, Data Structures and Algorithms: Multi-dimensional Searching and Computational Geometry:  Kurt Mehlhorn""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/tri.pdf"", ""text"": ""Kirkpatrick's planar point location triangulations: Pages 56-60, Section 2.2.2.3, Theorem 2.7, Computational Geometry: An Introduction by Preparata and Shamos""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/chanbsandipan.pdf"", ""text"": ""Chan's algorithm for computing convex hulls""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/Report_2-aswanth-cgal.pdf"", ""text"": ""CGAL Programming""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/BTP_14CS10016_Prithvi.pdf"", ""text"": ""CGAL robust computations""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/Final-sgment-barireddy.pdf"", ""text"": ""Segment trees""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/tutorial1-cs60064-2023.pdf"", ""text"": ""Tutorial-Classwork-1""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/tutorial2-cs60064-2023.pdf"", ""text"": ""Tutorial-Classwork-2""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/cs60064-2023-test1.pdf"", ""text"": ""Test 1""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/cs60064-2023-test2.pdf"", ""text"": ""Test 2""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/files/cs60064-2023-midsem.pdf"", ""text"": ""Midsem""}]"
https://cse.iitkgp.ac.in/%7Espp/algos2aut2015.html,CS31005,Algorithms II (Undergraduate core course in Autumn 2015),Autumn,2015,other,course_page,high,"Found course code, title, semester, and year, along with syllabus and logistics information.",False,no_notes,No lecture notes or slides found.,True,True,False,True,True,"[{""href"": ""http://cse.iitkgp.ac.in/~spp/Topics2015.pdf"", ""text"": ""Tentative course coverage""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp/Topics2015.pdf"", ""text"": ""Tentative course coverage""}]"
https://cse.iitkgp.ac.in/%7Espp/algos2aut2016.html,CS31005,Algorithms II (Undergraduate core course in Autumn 2016),Autumn 2016,2016,other,course_page,high,"Found course code, title, semester, and year, along with syllabus and logistics information.",False,no_notes,No lecture notes or slides found.,True,True,False,True,True,"[{""href"": ""http://cse.iitkgp.ac.in/~spp/Topics2015.pdf"", ""text"": ""Tentative course coverage""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp/Topics2015.pdf"", ""text"": ""Tentative course coverage""}]"
https://cse.iitkgp.ac.in/%7Espp/aoa.html,CS60023,Approximation and Online Algorithms,Autumn 2017,2017,other,course_page,high,"Found course code, title, semester, year, and detailed syllabus content.",False,no_notes,No lecture notes or slides found.,True,True,True,True,True,[],"[{""href"": ""http://cse.iitkgp.ac.in/~spp"", ""text"": ""Sudebkumar Prasant Pal""}]"
https://cse.iitkgp.ac.in/%7Espp/aoa2018.html,CS60023,Approximation and Online Algorithms,Autumn 2018,2018,other,course_page,high,"Found course code, title, semester, and detailed syllabus.",True,links_to_notes_pages,Link to a PDF file on vertex and set cover.,True,True,True,True,True,"[{""href"": ""http://cse.iitkgp.ac.in/~spp/algosIIaut2015approx-cs60023-2018.pdf"", ""text"": ""Vertex and set cover""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp"", ""text"": ""Sudebkumar Prasant Pal""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/algosIIaut2015approx-cs60023-2018.pdf"", ""text"": ""Vertex and set cover""}]"
https://cse.iitkgp.ac.in/%7Espp/aoa2019.html,CS60023,Approximation and Online Algorithms,Spring,2019,other,course_page,high,"contains course code, title, semester, year, syllabus, and lecture notes",True,links_to_notes_pages,links to lecture notes and resources,True,True,True,True,True,"[{""href"": ""http://cse.iitkgp.ac.in/~spp/algosIIaut2015approx-cs60023-2018.pdf"", ""text"": ""Vertex and set cover""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp"", ""text"": ""Sudebkumar Prasant Pal""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/algosIIaut2015approx-cs60023-2018.pdf"", ""text"": ""Vertex and set cover""}]"
https://cse.iitkgp.ac.in/%7Espp/aoa2020.html,CS60023,Approximation and Online Algorithms,Spring,2020,other,course_page,high,"The page contains a clear course code, title, semester, and year, along with detailed course content and objectives.",True,links_to_notes_pages,Links to lecture notes and reference texts are provided.,True,True,True,True,True,"[{""href"": ""http://cse.iitkgp.ac.in/~spp/algosIIaut2015approx-cs60023-2018.pdf"", ""text"": ""Vertex and set cover""}]","[{""href"": ""http://cse.iitkgp.ac.in/~spp"", ""text"": ""Sudebkumar Prasant Pal""}, {""href"": ""http://cse.iitkgp.ac.in/~spp/algosIIaut2015approx-cs60023-2018.pdf"", ""text"": ""Vertex and set cover""}]"
